,cyclist_id,origin,destination
910,1445,11397,12085
911,1446,14147,17487
912,1447,15674,14431
913,1448,22841,18165
914,1449,12384,17219
915,1451,18166,22845
916,1453,23156,25424
917,1454,25424,21643
918,1456,21051,20429
919,1457,22004,18241
920,1459,21955,26626
921,1460,10820,18607
922,1461,10830,28111
923,1462,26762,21966
924,1463,27226,21366
925,1466,18561,30000
926,1467,10731,11053
927,1468,24146,16499
928,1470,26931,18170
929,1472,17579,26369
930,1476,13359,16367
931,1477,24598,23532
932,1478,27502,19462
933,1480,28143,29107
934,1481,24631,30374
935,1482,27869,16924
936,1483,21845,17580
937,1486,24315,27578
938,1487,27210,14768
939,1490,24610,24058
940,1491,12083,12085
941,1493,17483,15368
942,1494,16112,26025
943,1495,26025,16111
944,1496,16924,19314
945,1497,22248,29446
946,1498,25712,29036
947,1499,25178,12089
948,1500,24597,27026
949,1501,20580,24834
950,1502,24561,20983
951,1504,20725,22522
952,1505,20649,16615
953,1506,21366,20395
954,1507,27047,27959
955,1508,24366,24609
956,1509,25423,23777
957,1510,27959,26396
958,1511,26394,27959
959,1512,27959,26394
960,1514,23853,22008
961,1517,26246,29021
962,1518,16923,28788
963,1519,21366,25488
964,1522,24611,22547
965,1524,18876,23213
966,1525,29741,29741
967,1528,29722,29741
968,1529,24392,27918
969,1530,28514,27278
970,1531,23532,24597
971,1532,30961,21744
972,1533,16367,13032
973,1535,22558,26002
