,cyclist_id,origin,destination
274,510,27258,26312
275,515,24669,23496
276,516,22013,28804
277,518,26086,25239
278,519,29743,26742
279,520,27962,29741
280,521,28142,25954
281,522,27639,20398
282,523,18556,19790
283,526,19790,21367
284,527,24900,24628
285,528,26036,30637
286,530,18157,18608
287,531,24090,24024
288,533,27250,26369
289,534,28165,20420
290,536,25224,25239
291,538,24604,23506
292,539,22825,19795
293,540,22517,18890
294,542,27824,25478
295,544,27226,19134
296,546,24869,27033
297,547,23855,25491
298,550,16651,22262
299,551,18500,25762
300,554,25195,23757
301,555,30770,30770
302,556,22262,16645
303,557,24398,19471
304,558,26025,16112
305,559,24964,18921
306,560,21576,21605
307,561,30046,24372
308,565,24965,24965
309,568,21744,30961
310,570,25480,29442
311,571,24645,20706
312,572,24633,22238
313,573,26973,28822
314,576,26064,17873
315,578,27450,31233
316,579,20398,27639
317,580,22240,27798
318,581,30067,25191
319,582,10448,27001
320,583,26535,28142
321,584,30963,21744
322,586,21051,26032
323,587,30956,24311
324,588,25241,25424
325,589,20420,28453
326,592,23817,27212
327,593,23196,27515
328,594,27621,24869
329,595,17282,26666
330,597,19799,26334
331,601,20100,22825
332,602,24628,24882
333,603,23510,26921
334,604,19167,27242
335,605,27035,13045
336,607,15709,17483
337,609,20620,26046
338,610,25509,22555
339,612,30042,23686
340,613,20726,28163
341,614,25953,21037
342,615,18247,21356
343,616,24620,26654
344,617,25659,29758
345,621,26717,23767
346,622,24088,17531
347,623,25224,25220
348,624,25240,26328
349,625,21400,24869
350,626,28513,24881
351,628,24919,22826
352,629,26963,12239
353,630,12384,17219
354,632,25782,15810
355,633,22277,26347
356,634,22825,26997
357,635,23472,26334
358,636,23806,19150
359,637,19150,28202
360,638,25436,24877
361,639,21607,22178
362,640,18573,25241
363,641,26997,22547
364,643,26327,24674
365,644,25257,26327
366,646,25207,25215
367,647,18575,17912
368,649,24321,19134
369,650,21689,25161
370,652,21968,29937
371,653,25459,25200
372,654,20713,16101
373,655,26362,24880
374,656,17534,25745
375,657,25778,28403
376,660,17219,12101
377,662,22280,18577
378,664,28737,23195
379,666,24074,26968
380,667,27062,21966
381,669,22237,18156
382,670,26050,25415
383,672,30167,28397
384,674,21034,26374
385,675,28737,30166
386,682,18562,16627
387,683,28142,25954
388,685,24882,30642
389,686,24609,21391
390,687,22248,20398
391,688,27243,19167
392,689,13031,11307
393,690,11051,13362
394,692,27250,25790
395,694,26036,20706
396,699,23474,27832
397,700,19151,27860
398,703,27569,23494
399,704,24871,27033
400,705,27250,21694
401,706,28160,22558
402,708,24881,24628
403,709,12239,26963
404,710,17863,22237
405,711,31233,27450
406,713,21358,26338
407,714,23767,26718
408,717,19168,25228
409,718,27450,25957
410,720,26025,16111
411,721,21744,30961
412,723,21576,21606
413,726,22237,25224
414,727,22582,25224
415,728,21694,21695
416,729,17932,25224
417,730,25193,30364
418,731,26625,29026
419,733,28130,26948
420,734,26947,25188
421,735,26969,23765
422,736,15623,24076
423,737,20701,21960
424,738,27225,27537
425,742,25741,20073
426,744,26072,23853
427,745,23855,29117
428,749,23543,23506
429,751,23765,16118
430,752,21398,22556
431,756,21375,30657
432,757,26340,19168
433,758,30656,26314
434,759,23506,23543
435,760,29117,22277
436,763,22558,18247
437,764,25782,15810
438,765,29036,25710
439,766,21686,21686
440,767,29411,28095
441,768,20730,19493
442,769,30067,25193
443,770,19493,20730
444,771,26536,28142
445,772,18863,23758
